hashtag_H cluster_C_leader(userID) relative_frequency_H_C frequency_H_in_C frequency_H_overall count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
Tuckyorose 1005846500583321601.hashtags 654.66666666666668334757 .00025458248472505091  .16666666666666666666 1 6 1 3928
Russian 1005846500583321601.hashtags 12.58974358974358975054 .01323828920570264765  .16666666666666666666 1 6 52 3928
Moscow 1005846500583321601.hashtags 163.66666666666666762248 .00101832993890020366  .16666666666666666666 1 6 4 3928
IStandWithUkraine 1005846500583321601.hashtags 43.64444444444444452789 .00381873727087576374  .16666666666666666666 1 6 15 3928
SlavaUkraini 1005846500583321601.hashtags 72.74074074074074100681 .00229124236252545824  .16666666666666666666 1 6 9 3928
BeFierce 1005846500583321601.hashtags 654.66666666666668334757 .00025458248472505091  .16666666666666666666 1 6 1 3928
ScottyfromMarketing 1031000589054828544.hashtags 196.40000000000000115483 .00050916496945010183  .10000000000000000000 1 10 2 3928
PutLNPlast 1031000589054828544.hashtags 392.80000000000001002425 .00025458248472505091  .10000000000000000000 1 10 1 3928
AusVotes22 1031000589054828544.hashtags 130.93333333333333496039 .00076374745417515274  .10000000000000000000 1 10 3 3928
Australia 1031000589054828544.hashtags 10.33684210526315790209 .00967413441955193482  .10000000000000000000 1 10 38 3928
VoteThemOut 1031000589054828544.hashtags 98.20000000000000057741 .00101832993890020366  .10000000000000000000 1 10 4 3928
LNPDisgrace 1031000589054828544.hashtags 39.28000000000000007667 .00254582484725050916  .10000000000000000000 1 10 10 3928
SolomonIslands 1031000589054828544.hashtags 392.80000000000001002425 .00025458248472505091  .10000000000000000000 1 10 1 3928
AlboForPM 1031000589054828544.hashtags 8.72888888888888889068 .01145621181262729124  .10000000000000000000 1 10 45 3928
auspol 1031000589054828544.hashtags 2.47044025157232704420 .04047861507128309572  .10000000000000000000 1 10 159 3928
ausvotes 1031000589054828544.hashtags 20.67368421052631580418 .00483706720977596741  .10000000000000000000 1 10 19 3928
CityOnFire 1060440219097423872.hashtags 1964.00000000000001154832 .00050916496945010183  1.00000000000000000000 1 1 2 3928
btc 1064312869414678528.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
BorisJohnsonOut 1073606435580325889.hashtags 392.80000000000000230966 .00050916496945010183  .20000000000000000000 1 5 2 3928
ToriesOut 1073606435580325889.hashtags 78.56000000000000015334 .00254582484725050916  .20000000000000000000 1 5 10 3928
JohnsonOut 1073606435580325889.hashtags 22.12957746478873239593 .01807535641547861507  .40000000000000000000 2 5 71 3928
private 1073606435580325889.hashtags 112.22857142857142891645 .00178207739307535641  .20000000000000000000 1 5 7 3928
depop 1073606435580325889.hashtags 785.60000000000002004851 .00025458248472505091  .20000000000000000000 1 5 1 3928
VotingRightsAct 1080844782.hashtags 140.28571428571428653636 .00101832993890020366  .14285714285714285714 1 7 4 3928
VotingRightsNow 1080844782.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
ThursdayThoughts 1080844782.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
ThursdayMotivation 1080844782.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
SinemaEndsDemocracy 1080844782.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
VotingRights 1080844782.hashtags 168.34285714285714318238 .00254582484725050916  .42857142857142857142 3 7 10 3928
OnThisDay 1080844782.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
cbdc 1094095877302611969.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
tether 1094095877302611969.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
evergrande 1094095877302611969.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
COVID19 1094971056358637568.hashtags 14.02857142857142857519 .01425661914460285132  .20000000000000000000 2 10 56 3928
Omicron 1094971056358637568.hashtags 24.55000000000000002381 .00407331975560081466  .10000000000000000000 1 10 16 3928
LongCovid 1094971056358637568.hashtags 5.30810810810810810832 .01883910386965376782  .10000000000000000000 1 10 74 3928
UnsafeSchools 1094971056358637568.hashtags 392.80000000000001002425 .00025458248472505091  .10000000000000000000 1 10 1 3928
NoWarWithRussia 1094971056358637568.hashtags 98.20000000000000057741 .00101832993890020366  .10000000000000000000 1 10 4 3928
NoWar 1094971056358637568.hashtags 130.93333333333333410322 .00152749490835030549  .20000000000000000000 2 10 6 3928
MeToo 1094971056358637568.hashtags 130.93333333333333496039 .00076374745417515274  .10000000000000000000 1 10 3 3928
BA2 1094971056358637568.hashtags 65.46666666666666705161 .00152749490835030549  .10000000000000000000 1 10 6 3928
COVID19 1094971056358637568.hashtags 14.02857142857142857519 .01425661914460285132  .20000000000000000000 2 10 56 3928
ZeroCovid 1094971056358637568.hashtags 196.40000000000000115483 .00050916496945010183  .10000000000000000000 1 10 2 3928
เจ้าแก้มก้อน 1095523459877068800.hashtags 350.71428571428571462380 .00203665987780040733  .71428571428571428571 5 7 8 3928
fluke_natouch 1095523459877068800.hashtags 187.04761904761904993968 .00076374745417515274  .14285714285714285714 1 7 3 3928
เจ้าแก้มก้อน 1095523459877068800.hashtags 350.71428571428571462380 .00203665987780040733  .71428571428571428571 5 7 8 3928
ไขมันของเจ้าแก้มก้อน 1095523459877068800.hashtags 561.14285714285714614544 .00050916496945010183  .28571428571428571428 2 7 2 3928
UWMAseries 1095523459877068800.hashtags 280.57142857142857307272 .00050916496945010183  .14285714285714285714 1 7 2 3928
เจ้าแก้มก้อน 1095523459877068800.hashtags 350.71428571428571462380 .00203665987780040733  .71428571428571428571 5 7 8 3928
ไขมันของเจ้าแก้มก้อน 1095523459877068800.hashtags 561.14285714285714614544 .00050916496945010183  .28571428571428571428 2 7 2 3928
COVID19 1096205507348623360.hashtags 10.02040816326530612493 .01425661914460285132  .14285714285714285714 1 7 56 3928
VoteFordOut2022 1096205507348623360.hashtags 37.40952380952380959608 .00381873727087576374  .14285714285714285714 1 7 15 3928
VoteThemAllOut2022 1096205507348623360.hashtags 43.16483516483516489247 .00330957230142566191  .14285714285714285714 1 7 13 3928
NeverVoteConservative 1096205507348623360.hashtags 46.76190476190476202571 .00305498981670061099  .14285714285714285714 1 7 12 3928
FlutruxKlan 1096205507348623360.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
TinfoilOfTheMonth 1096205507348623360.hashtags 561.14285714285715716628 .00025458248472505091  .14285714285714285714 1 7 1 3928
bcpoli 1096205507348623360.hashtags 62.34920634920634943565 .00229124236252545824  .14285714285714285714 1 7 9 3928
endometriosis 1098451166306824193.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
auspol 1098451166306824193.hashtags 8.23480083857442348061 .04047861507128309572  .33333333333333333333 1 3 159 3928
JournalismMatters 1098451166306824193.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
WeTVxOhmFluke 1098819491780153345.hashtags 78.56000000000000015334 .00127291242362525458  .10000000000000000000 1 10 5 3928
609BedTimeStory 1098819491780153345.hashtags 392.80000000000001002425 .00025458248472505091  .10000000000000000000 1 10 1 3928
เจ้าแก้มก้อน 1098819491780153345.hashtags 196.40000000000000019050 .00203665987780040733  .40000000000000000000 4 10 8 3928
fluke_natouch 1098819491780153345.hashtags 130.93333333333333496039 .00076374745417515274  .10000000000000000000 1 10 3 3928
เจ้าแก้มก้อน 1098819491780153345.hashtags 196.40000000000000019050 .00203665987780040733  .40000000000000000000 4 10 8 3928
เจ้าแก้มก้อน 1098819491780153345.hashtags 196.40000000000000019050 .00203665987780040733  .40000000000000000000 4 10 8 3928
Fluke_Natouch 1098819491780153345.hashtags 392.80000000000000230966 .00050916496945010183  .20000000000000000000 2 10 2 3928
เจ้าแก้มก้อน 1098819491780153345.hashtags 196.40000000000000019050 .00203665987780040733  .40000000000000000000 4 10 8 3928
Fluke_Natouch 1098819491780153345.hashtags 392.80000000000000230966 .00050916496945010183  .20000000000000000000 2 10 2 3928
