hashtag_H cluster_C_leader(userID) relative_frequency_H_C frequency_H_in_C frequency_H_overall count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
Brexit 1004656199885836288.hashtags 13.36054421768707482995 .07484725050916496945  1.00000000000000000000 1 1 294 3928
"Trump 1017456403961835520.hashtags 37.40952380952380955447 .00891038696537678207  .33333333333333333333 1 3 35 3928
KGB 1017456403961835520.hashtags 93.52380952380952383370 .00356415478615071283  .33333333333333333333 1 3 14 3928
Helsinki2018" 1017456403961835520.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
"MelanieShaw 1023111834587607041.hashtags 491.00000000000000288708 .00101832993890020366  .50000000000000000000 1 2 4 3928
FreeMelanieShaw" 1023111834587607041.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
"MelanieShaw 1026716985143508992.hashtags 491.00000000000000288708 .00101832993890020366  .50000000000000000000 1 2 4 3928
Nottingham" 1026716985143508992.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
melanieshaw 1027189486466330624.hashtags 1309.33333333333334960398 .00076374745417515274  1.00000000000000000000 1 1 3 3928
MelanieShaw 1040192907855187968.hashtags 357.09090909090909109607 .00280040733197556008  1.00000000000000000000 1 1 11 3928
"wheelbug 1043987153926201345.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
RRRRRRRRRRRRinbug 1043987153926201345.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
becurious" 1043987153926201345.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
RepublicanTTTTTTPredators 1045330832917839873.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045333151877234688.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045373050751860737.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045375787514249217.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 392
RepublicanTTTTTTPredators 1045377009205960704.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045377571376967680.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045378154766848000.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045378819182358528.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045379226382172160.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045380217844391941.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045390929861832704.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045395049926684672.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045396850017099776.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045397197976555521.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045397823020093440.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045398378291425280.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045399674784440320.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045411920658886656.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045412709037105152.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045414653646360576.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045414843082145792.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1045750429869436929.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
"TommyRobinson 1046059030882471936.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
MelanieShaw 1046059030882471936.hashtags 119.03030303030303036416 .00280040733197556008  .33333333333333333333 1 3 11 3928
EnemiesOfTheState" 1046059030882471936.hashtags 1309.33333333333336673442 .00025458248472505091  .33333333333333333333 1 3 1 3928
RepublicanTTTTTTPredators 1050230220735692801.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1061805296903839745.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
"MelanieShaw 1065241360368844803.hashtags 491.00000000000000288708 .00101832993890020366  .50000000000000000000 1 2 4 3928
melanieshaw" 1065241360368844803.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
F1 1072605064211116032.hashtags 145.48148148148148159614 .00687372708757637474  1.00000000000000000000 1 1 27 3928
authoritarianism 1074379984423215104.hashtags 982.00000000000000577416 .00101832993890020366  1.00000000000000000000 1 1 4 3928
Tumblr 1079054259528785920.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
London 1090649228366544896.hashtags 18.44131455399061032994 .05422606924643584521  1.00000000000000000000 1 1 213 3928
"MelanieShaw 1113022967104110592.hashtags 491.00000000000000288708 .00101832993890020366  .50000000000000000000 1 2 4 3928
leeds" 1113022967104110592.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
BorisJohnson 1117453001638207489.hashtags 13.63888888888888888909 .07331975560081466395  1.00000000000000000000 1 1 288 3928
MuellerReport 1119599477000691712.hashtags 561.14285714285714458225 .00178207739307535641  1.00000000000000000000 1 1 7 3928
MuellerReport 1119599626942914560.hashtags 561.14285714285714458225 .00178207739307535641  1.00000000000000000000 1 1 7 3928
MuellerReport 1119600133681840128.hashtags 561.14285714285714458225 .00178207739307535641  1.00000000000000000000 1 1 7 3928
MuellerReport 1119600266297450496.hashtags 561.14285714285714458225 .00178207739307535641  1.00000000000000000000 1 1 7 3928
MuellerReport 1119600422094876673.hashtags 561.14285714285714458225 .00178207739307535641  1.00000000000000000000 1 1 7 3928
MuellerReport 1119600625136885762.hashtags 561.14285714285714458225 .00178207739307535641  1.00000000000000000000 1 1 7 3928
MuellerReport 1119601174855016448.hashtags 561.14285714285714458225 .00178207739307535641  1.00000000000000000000 1 1 7 3928
RealityWinner 1120816221580959745.hashtags 785.60000000000000153349 .00127291242362525458  1.00000000000000000000 1 1 5 3928
mindbodymiko 1122957778937495552.hashtags 1964.00000000000001154832 .00050916496945010183  1.00000000000000000000 1 1 2 3928
"winning 1125288878183714816.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
pesto" 1125288878183714816.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
RepublicanTTTTTTPredators 1127004870618124289.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
MelanieShaw 1129401836828540928.hashtags 357.09090909090909109607 .00280040733197556008  1.00000000000000000000 1 1 11 3928
"NHS 1135151217439596544.hashtags 178.54545454545454554803 .00280040733197556008  .50000000000000000000 1 2 11 3928
Brexit" 1135151217439596544.hashtags 163.66666666666666709329 .00305498981670061099  .50000000000000000000 1 2 12 3928
RepublicanTTTTTTPredators 1140731239143317504.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1177122776420732928.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
RepublicanTTTTTTPredators 1182121841206280192.hashtags 46.76190476190476191732 .02138492871690427698  1.00000000000000000000 1 1 84 3928
"universalworks 1185555183868272641.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
donbejealous" 1185555183868272641.hashtags 1964.00000000000005012128 .00025458248472505091  .50000000000000000000 1 2 1 3928
wireshark 1192450860003016704.hashtags 3928.00000000000010024256 .00025458248472505091  1.00000000000000000000 1 1 1 3928
Dutch 1192910362091249664.hashtags 78.56000000000000002991 .01272912423625254582  1.00000000000000000000 1 1 50 3928
"UWMAep6 1205905572274393088.hashtags 982.00000000000002506064 .00025458248472505091  .25000000000000000000 1 4 1 3928
UWMAseries 1205905572274393088.hashtags 140.28571428571428614556 .00178207739307535641  .25000000000000000000 1 4 7 3928
uwmaep6 1205905572274393088.hashtags 982.00000000000002506064 .00025458248472505091  .25000000000000000000 1 4 1 3928
OhmFluke" 1205905572274393088.hashtags 42.69565217391304354701 .00585539714867617107  .25000000000000000000 1 4 23 3928
